Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'466273173737,title,ar,,,Tara Formula,تركيبة تارا
COLLECTION,'466273173737,handle,ar,,,tara-formula,صيغة-تارا
COLLECTION,'466273206505,title,ar,,,Shop Hair,تسوق الشعر
COLLECTION,'466273206505,body_html,ar,,,"<style>#html-body [data-pb-style=PUM06FI],#html-body [data-pb-style=S4YVP9U]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=PUM06FI]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=S4YVP9U]{align-self:stretch}#html-body [data-pb-style=HD6G9BI]{display:flex;width:100%}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=P0E58Y5]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=Y8VKX45]{background-position:left top;width:75%}#html-body [data-pb-style=OIUIHC7],#html-body [data-pb-style=YQ4D9A4]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=OIUIHC7]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=PUM06FI]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=Y8VKX45]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""PUM06FI""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""S4YVP9U""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""HD6G9BI"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Desktop_1.jpg\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Mobile_1.jpg\""}' data-element=""main"" data-pb-style=""P0E58Y5""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""Y8VKX45"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""YQ4D9A4"">Award-Winning Haircare: Botanical Extracts + Advanced Science </h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""OIUIHC7""><p id=""UG3OKMM"">We combine proven botanical extracts with breakthrough modern ingredients to provide the best care for your hair.</p></div>
</div>
</div></div></div></div>","<style>#html-body [data-pb-style=PUM06FI],#html-body [data-pb-style=S4YVP9U]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=PUM06FI]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=S4YVP9U]{align-self:stretch}#html-body [data-pb-style=HD6G9BI]{display:flex;width:100%}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=P0E58Y5]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=Y8VKX45]{background-position:left top;width:75%}#html-body [data-pb-style=OIUIHC7],#html-body [data-pb-style=YQ4D9A4]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=OIUIHC7]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=PUM06FI]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=Y8VKX45]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""PUM06FI""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""S4YVP9U""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""HD6G9BI"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Desktop_1.jpg\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Mobile_1.jpg\""}' data-element=""main"" data-pb-style=""P0E58Y5""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""Y8VKX45"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""YQ4D9A4"">عناية بالشعر حاصلة على جوائز: مستخلصات نباتية + علم متقدم</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""OIUIHC7""><p id=""UG3OKMM"">نجمع مستخلصات نباتية مثبتة مع مكوّنات حديثة رائدة لتوفير أفضل رعاية لشعرك.</p></div>
</div>
</div></div></div></div>"
COLLECTION,'466273206505,handle,ar,,,shop-hair,العناية-بالشعر
COLLECTION,'466273239273,title,ar,,,BLACK FRIDAY SETS,مجموعات الجمعة السوداء
COLLECTION,'466273239273,body_html,ar,,,"<style>#html-body [data-pb-style=FI5DQCS],#html-body [data-pb-style=FWJ88MA]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=FI5DQCS]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=FWJ88MA]{align-self:stretch}#html-body [data-pb-style=C1XVNKW]{display:flex;width:100%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=RVM9FP1]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5]{background-position:left top}#html-body [data-pb-style=AGB5338]{text-align:center;width:50%}#html-body [data-pb-style=KW00TE5]{width:25%}#html-body [data-pb-style=F8DM0XW],#html-body [data-pb-style=VEDS7FC]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=VEDS7FC]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=FI5DQCS]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=KW00TE5]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""FI5DQCS""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""FWJ88MA""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""C1XVNKW"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_6.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_7.png\""}' data-element=""main"" data-pb-style=""RVM9FP1""></div>
<div class=""pagebuilder-column right-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_3_2.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_MOB_white_1.png\""}' data-element=""main"" data-pb-style=""AGB5338""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""KW00TE5"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""F8DM0XW"">Black Friday Sets</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""VEDS7FC"">
<p>3-step haircare routines to restore hair and scalp health from root to tip. Each set targets a specific hair concern like lack of density, hair loss, dry and dull hair, aging hair or dehydrated hair. <strong>Now with 20%OFF — For Black Friday only.</strong></p>
<p> </p>
</div>
</div>
</div></div></div></div>","<style>#html-body [data-pb-style=FI5DQCS],#html-body [data-pb-style=FWJ88MA]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=FI5DQCS]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=FWJ88MA]{align-self:stretch}#html-body [data-pb-style=C1XVNKW]{display:flex;width:100%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=RVM9FP1]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5]{background-position:left top}#html-body [data-pb-style=AGB5338]{text-align:center;width:50%}#html-body [data-pb-style=KW00TE5]{width:25%}#html-body [data-pb-style=F8DM0XW],#html-body [data-pb-style=VEDS7FC]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=VEDS7FC]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=FI5DQCS]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=KW00TE5]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""FI5DQCS""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""FWJ88MA""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""C1XVNKW"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_6.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_7.png\""}' data-element=""main"" data-pb-style=""RVM9FP1""></div>
<div class=""pagebuilder-column right-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_3_2.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_MOB_white_1.png\""}' data-element=""main"" data-pb-style=""AGB5338""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""KW00TE5"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""F8DM0XW"">مجموعات الجمعة السوداء</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""VEDS7FC"">
<p>3‑خطوات روتين العناية بالشعر لاستعادة صحة الشعر وفروة الرأس من الجذور إلى الأطراف. يستهدف كل طقم مشكلة محددة مثل نقص الكثافة، تساقط الشعر، الشعر الجاف والباهت، الشعر الذي يتقدم في العمر، أو الشعر الممّد من الجفاف. <strong>الآن بخصم 20% — فقط في الجمعة السوداء.</strong></p>
<p> </p>
</div>
</div>
</div></div></div></div>"
COLLECTION,'466273239273,handle,ar,,,black-friday-sets,عروض-الجمعة-السوداء
COLLECTION,'466273239273,meta_title,ar,,,Sets y Rutinas de Cuidado Capilar | TARA,مجموعات-الجمعة-السوداء
COLLECTION,'466273239273,meta_description,ar,,,Sets de cuidado capilar diseñados para rutinas integrales y resultados óptimos. Combinaciones expertas para tratar el cuero cabelludo y el cabello por completo.,مجموعة عناية بالشعر مصممة لروتينات شاملة ونتائج مثالية. تركيبات خبراء لمعالجة فروة الرأس والشعر بشكل كامل.
