Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'466273173737,title,ar,,,Tara Formula,
COLLECTION,'466273173737,body_html,ar,,,,
COLLECTION,'466273173737,handle,ar,,,tara-formula,
COLLECTION,'466273206505,title,ar,,,Shop Hair,
COLLECTION,'466273206505,body_html,ar,,,"<div><div><div><div>

<div>
<h1>Award-Winning Haircare: Botanical Extracts + Advanced Science </h1>
<div><p>We combine proven botanical extracts with breakthrough modern ingredients to provide the best care for your hair.</p></div>
</div>
</div></div></div></div>",
COLLECTION,'466273206505,handle,ar,,,shop-hair,
COLLECTION,'466273239273,title,ar,,,BLACK FRIDAY SETS,
COLLECTION,'466273239273,body_html,ar,,,"<div><div><div><div>

<div>
<h1>Black Friday Sets</h1>
<div>
<p>3-step haircare routines to restore hair and scalp health from root to tip. Each set targets a specific hair concern like lack of density, hair loss, dry and dull hair, aging hair or dehydrated hair. <strong>Now with 20%OFF — For Black Friday only.</strong></p>
<p> </p>
</div>
</div>
</div></div></div></div>",
COLLECTION,'466273239273,handle,ar,,,black-friday-sets,
COLLECTION,'466273239273,meta_title,ar,,,Sets and Hair Care Routines | TARA,
COLLECTION,'466273239273,meta_description,ar,,,Hair care sets designed for comprehensive routines and optimal results. Expert combinations to treat the scalp and hair completely.,
COLLECTION,'466273272041,title,ar,,,Shop Skin,
COLLECTION,'466273272041,body_html,ar,,,"<div><div><div><div>

<div>
<h1>More than just skin deep.</h1>
<div><p><span style=""font-weight: 400;"">Gentle, yet effective formulas that go beneath the surface to reveal your best skin yet.</span></p></div>
</div>
</div></div></div></div>",
COLLECTION,'466273272041,handle,ar,,,shop-skin,
COLLECTION,'466273304809,title,ar,,,Accessories,
COLLECTION,'466273304809,body_html,ar,,,,
COLLECTION,'466273304809,handle,ar,,,accessories,
COLLECTION,'466273337577,title,ar,,,Black Garlic+ Ceramides,
COLLECTION,'466273337577,body_html,ar,,,"<p>Comprehensive hair treatment to rebuild, strengthen and repair from the scalp to the hair fiber’s internal structure. Ideal for damaged, dry or porous hair.</p>",
COLLECTION,'466273337577,handle,ar,,,black-garlic-ceramides,
COLLECTION,'466273337577,meta_title,ar,,,Black Garlic + Ceramides | Repair and Strengthen Hair | TARA,
COLLECTION,'466273337577,meta_description,ar,,,"Complete scalp treatment to reconstruct, strengthen, and repair from the scalp to the internal structure of the hair fiber.",
COLLECTION,'466273370345,title,ar,,,Onion + Peptides,
COLLECTION,'466273370345,body_html,ar,,,<p>Anti‑hair‑loss haircare developed with Onion and next‑generation Peptides. This collection tackles shedding at the scalp to keep hair anchored and prolong the growth phase.</p>,
COLLECTION,'466273370345,handle,ar,,,onion-peptides,
COLLECTION,'466273370345,meta_title,ar,,,Onion + Peptides | Combat Hair Loss and Thinning | TARA,
COLLECTION,'466273370345,meta_description,ar,,,"Anti-hair loss scalp care developed with Onion Extract and CapixylTM. Reduces hair loss, improves hair anchorage, and promotes growth.",
COLLECTION,'466273403113,title,ar,,,Date+ Multivitamin,
COLLECTION,'466273403113,body_html,ar,,,"<p><span>The Date+ Multivitamin collection combines the benefits of nutrient‑rich botanicals with innovative biotech to nourish, strengthen and protect your hair from within.</span></p>",
COLLECTION,'466273403113,handle,ar,,,date-multivitamin,
COLLECTION,'466273403113,meta_title,ar,,,Date + Multivitamin | Nutrition and Hair Wellbeing | TARA,
COLLECTION,'466273403113,meta_description,ar,,,"The Date+ Multivitamin collection combines innovative ingredients to nourish, strengthen, and protect your hair from the roots to the tips.",
COLLECTION,'466273435881,title,ar,,,Detox,
COLLECTION,'466273435881,body_html,ar,,,"<p>The Tara Detox collection is the reset your scalp needs. Removes residue and impurities, revives follicles, balances sebum production and improves overall hair health.</p>",
COLLECTION,'466273435881,handle,ar,,,detox,
COLLECTION,'466273435881,meta_title,ar,,,Detox | Purifies and Rebalances the Scalp | TARA,
COLLECTION,'466273435881,meta_description,ar,,,"The Detox collection from TARA removes residues and impurities, revitalizes follicles, balances sebum production, and improves overall hair health.",
COLLECTION,'466273468649,title,ar,,,Strawberry+ NMF,
COLLECTION,'466273468649,body_html,ar,,,"<p><span>The Strawberry+ NMF collection is the definitive solution for dehydrated hair. Our 3‑step hydrating routine restores and maintains natural moisture, seals cuticles and leaves hair shiny, silky and frizz‑free.</span></p>",
COLLECTION,'466273468649,handle,ar,,,strawberry-nmf,
COLLECTION,'466273468649,meta_title,ar,,,Strawberry + NMF | Hydration for Hair | TARA,
COLLECTION,'466273468649,meta_description,ar,,,"The ultimate solution for dehydrated hair. Hydrating routine that restores moisture, seals cuticles, and leaves hair silky and frizz-free.",
COLLECTION,'466273501417,title,ar,,,Best Sellers,
COLLECTION,'466273501417,body_html,ar,,,"<p>Discover Tara’s top‑selling haircare products. Expert formulas that strengthen scalp and hair, chosen by those seeking visible, lasting results.</p>",
COLLECTION,'466273501417,handle,ar,,,best-sellers,
COLLECTION,'466273501417,meta_title,ar,,,Best Selling Products | TARA,
COLLECTION,'466273501417,meta_description,ar,,,Discover the best-selling scalp-care products from TARA. Expert formulas that strengthen the scalp and hair for visible results.,
COLLECTION,'466273534185,title,ar,,,Hair Masks,
COLLECTION,'466273534185,body_html,ar,,,"<p>High‑performance hair masks that repair, nourish and strengthen hair deeply. Intensive treatments for a stronger, healthier hair fiber.</p>",
COLLECTION,'466273534185,handle,ar,,,hair-masks,
COLLECTION,'466273534185,meta_title,ar,,,Silicone-free Hair Masks | TARA,
COLLECTION,'466273534185,meta_description,ar,,,"High-efficacy hair masks that repair, nourish, and strengthen hair. Intensive treatments for stronger and healthier hair fiber.",
COLLECTION,'466273566953,title,ar,,,New Arrivals,
COLLECTION,'466273566953,body_html,ar,,,<p>Discover the latest from Tara in haircare. New formulas and advanced actives designed to improve scalp health and hair fiber performance.</p>,
COLLECTION,'466273566953,handle,ar,,,new-arrivals,
COLLECTION,'466273599721,title,ar,,,By Product,
COLLECTION,'466273599721,body_html,ar,,,"<p>Find your ideal hair routine by browsing products by type. Shampoos, conditioners, treatments and finishes formulated for expert care.</p>",
COLLECTION,'466273599721,handle,ar,,,by-product,
COLLECTION,'466273599721,meta_title,ar,,,Tipo de Producto | TARA,
COLLECTION,'466273599721,meta_description,ar,,,"Explore the shampoos, conditioners, treatments, and finishes formulated by TARA for transformative scalp care from the root.",
COLLECTION,'466273632489,title,ar,,,Award‑Winners,
COLLECTION,'466273632489,body_html,ar,,,"<p>Explore Tara’s award‑winning products, recognized for innovation and efficacy in scalp and haircare. Results backed by experts.</p>",
COLLECTION,'466273632489,handle,ar,,,award-winners,
COLLECTION,'466273632489,meta_title,ar,,,Productos Capilares Premiados | TARA,
COLLECTION,'466273632489,meta_description,ar,,,"Explore the award-winning products of TARA, recognized for their innovation and effectiveness in scalp and hair care. Backed by experts.",
COLLECTION,'466273665257,title,ar,,,Finishing Products,
COLLECTION,'466273665257,body_html,ar,,,"<p>Finishing products that protect, define and beautify hair without compromising health. Lightweight formulas that care while leaving hair looking its best.</p>",
COLLECTION,'466273665257,handle,ar,,,finishing-products,
COLLECTION,'466273665257,meta_title,ar,,,Productos de Acabado | TARA,
COLLECTION,'466273698025,title,ar,,,Rosemary+ Peptides,
COLLECTION,'466273698025,body_html,ar,,,"<p>Boost growth and density with our Rosemary+ Peptides collection. Revitalizes follicles, stimulates new hair production and strengthens structure. Highly restorative for the scalp.</p>",
COLLECTION,'466273698025,handle,ar,,,rosemary-peptides,
COLLECTION,'466273698025,meta_title,ar,,,Rosemary + Peptides | Hair Growth and Density | TARA,
COLLECTION,'466273698025,meta_description,ar,,,"Boost the growth and density of your hair with Rosemary + Peptides. Revitalize the follicles, stimulate growth, and strengthen the hair.",
COLLECTION,'466273730793,title,ar,,,Sage+ Multivitamin,
COLLECTION,'466273730793,body_html,ar,,,"<p>Keep hair vibrant with our well‑aging line. Sage+ Multivitamin prevents premature aging, protects against oxidative stress and slows grey onset.</p>",
COLLECTION,'466273730793,handle,ar,,,sage-multivitamin,
COLLECTION,'466273730793,meta_title,ar,,,Sage+ Multivitamin | Anti-Aging Hair | TARA,
COLLECTION,'466273730793,meta_description,ar,,,"Keep your hair vibrant with Salvia+ Multivitamin, it prevents premature aging, protects against oxidative stress, and slows down gray hair.",
COLLECTION,'466273763561,title,ar,,,Scalp Serums,
COLLECTION,'466273763561,body_html,ar,,,"<p>Targeted serums for scalp care. Help reinforce the root, balance the scalp and support healthy hair growth.</p>",
COLLECTION,'466273763561,handle,ar,,,scalp-serums,
COLLECTION,'466273763561,meta_title,ar,,,Serums for the Scalp | TARA,
COLLECTION,'466273796329,title,ar,,,Conditioners,
COLLECTION,'466273796329,body_html,ar,,,"<p>Conditioners that hydrate, detangle and strengthen without weighing hair down. Designed to improve hair resilience and appearance day after day.</p>",
COLLECTION,'466273796329,handle,ar,,,conditioners,
COLLECTION,'466273796329,meta_title,ar,,,Silicone-free conditioners | TARA,
COLLECTION,'466273796329,meta_description,ar,,,"Silicone-free conditioners that hydrate, detangle, and strengthen hair without weighing it down. Designed to enhance the resilience and appearance of hair.",
COLLECTION,'466273829097,title,ar,,,Shampoos,
