Type,Identification,Field,Locale,Market,Status,Default content,Translated content
COLLECTION,'466273173737,title,ar,,,Tara Formula,تارا فورمولا
COLLECTION,'466273173737,body_html,ar,,,,
COLLECTION,'466273173737,handle,ar,,,tara-formula,
COLLECTION,'466273206505,title,ar,,,Shop Hair,تسوّق الشعر
COLLECTION,'466273206505,body_html,ar,,,"<style>#html-body [data-pb-style=PUM06FI],#html-body [data-pb-style=S4YVP9U]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=PUM06FI]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=S4YVP9U]{align-self:stretch}#html-body [data-pb-style=HD6G9BI]{display:flex;width:100%}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=P0E58Y5]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=Y8VKX45]{background-position:left top;width:75%}#html-body [data-pb-style=OIUIHC7],#html-body [data-pb-style=YQ4D9A4]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=OIUIHC7]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=PUM06FI]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=Y8VKX45]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""PUM06FI""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""S4YVP9U""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""HD6G9BI"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Desktop_1.jpg\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Mobile_1.jpg\""}' data-element=""main"" data-pb-style=""P0E58Y5""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""Y8VKX45"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""YQ4D9A4"">Award-Winning Haircare: Botanical Extracts + Advanced Science </h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""OIUIHC7""><p id=""UG3OKMM"">We combine proven botanical extracts with breakthrough modern ingredients to provide the best care for your hair.</p></div>
</div>
</div></div></div></div>","<style>#html-body [data-pb-style=PUM06FI],#html-body [data-pb-style=S4YVP9U]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=PUM06FI]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=S4YVP9U]{align-self:stretch}#html-body [data-pb-style=HD6G9BI]{display:flex;width:100%}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=P0E58Y5]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=Y8VKX45]{background-position:left top;width:75%}#html-body [data-pb-style=OIUIHC7],#html-body [data-pb-style=YQ4D9A4]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=OIUIHC7]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=PUM06FI]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=P0E58Y5],#html-body [data-pb-style=Y8VKX45]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=Y8VKX45]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""PUM06FI""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""S4YVP9U""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""HD6G9BI"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Desktop_1.jpg\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Hair_Global_1_Mobile_1.jpg\""}' data-element=""main"" data-pb-style=""P0E58Y5""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""Y8VKX45"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""YQ4D9A4"">عناية بالشعر حائزة على جوائز: مستخلصات نباتية + علم متقدم</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""OIUIHC7""><p id=""UG3OKMM"">نجمع المستخلصات النباتية المثبتة مع مكوّنات حديثة رائدة لتوفير أفضل رعاية لشعرك.</p></div>
</div>
</div></div></div></div>"
COLLECTION,'466273206505,handle,ar,,,shop-hair,العناية-بالشعر
COLLECTION,'466273239273,title,ar,,,BLACK FRIDAY SETS,مجموعات الجمعة السوداء
COLLECTION,'466273239273,body_html,ar,,,"<style>#html-body [data-pb-style=FI5DQCS],#html-body [data-pb-style=FWJ88MA]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=FI5DQCS]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=FWJ88MA]{align-self:stretch}#html-body [data-pb-style=C1XVNKW]{display:flex;width:100%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=RVM9FP1]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5]{background-position:left top}#html-body [data-pb-style=AGB5338]{text-align:center;width:50%}#html-body [data-pb-style=KW00TE5]{width:25%}#html-body [data-pb-style=F8DM0XW],#html-body [data-pb-style=VEDS7FC]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=VEDS7FC]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=FI5DQCS]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=KW00TE5]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""FI5DQCS""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""FWJ88MA""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""C1XVNKW"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_6.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_7.png\""}' data-element=""main"" data-pb-style=""RVM9FP1""></div>
<div class=""pagebuilder-column right-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_3_2.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_MOB_white_1.png\""}' data-element=""main"" data-pb-style=""AGB5338""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""KW00TE5"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""F8DM0XW"">Black Friday Sets</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""VEDS7FC"">
<p>3-step haircare routines to restore hair and scalp health from root to tip. Each set targets a specific hair concern like lack of density, hair loss, dry and dull hair, aging hair or dehydrated hair. <strong>Now with 20%OFF — For Black Friday only.</strong></p>
<p> </p>
</div>
</div>
</div></div></div></div>","<style>#html-body [data-pb-style=FI5DQCS],#html-body [data-pb-style=FWJ88MA]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=FI5DQCS]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=FWJ88MA]{align-self:stretch}#html-body [data-pb-style=C1XVNKW]{display:flex;width:100%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=RVM9FP1]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5]{background-position:left top}#html-body [data-pb-style=AGB5338]{text-align:center;width:50%}#html-body [data-pb-style=KW00TE5]{width:25%}#html-body [data-pb-style=F8DM0XW],#html-body [data-pb-style=VEDS7FC]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=VEDS7FC]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=FI5DQCS]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=AGB5338],#html-body [data-pb-style=KW00TE5],#html-body [data-pb-style=RVM9FP1]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=KW00TE5]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""FI5DQCS""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""FWJ88MA""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""C1XVNKW"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_6.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_ES_1_7.png\""}' data-element=""main"" data-pb-style=""RVM9FP1""></div>
<div class=""pagebuilder-column right-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_3_2.png\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Landing_BF_EN_MOB_white_1.png\""}' data-element=""main"" data-pb-style=""AGB5338""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""KW00TE5"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""F8DM0XW"">مجموعات الجمعة السوداء</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""VEDS7FC"">
<p>روتينات العناية بالشعر من ثلاث خطوات لاستعادة صحة الشعر وفروة الرأس من الجذر حتى الأطراف. كل مجموعة تستهدف مشكلة محددة مثل نقص الكثافة، التساقط، الشعر الجاف والباهت، الشعر مع تقدم العمر، أو الشعر المصاب بالجفاف. <strong>الآن بخصم 20% فقط في الجمعة السوداء.</strong></p>
<p> </p>
</div>
</div>
</div></div></div></div>"
COLLECTION,'466273239273,handle,ar,,,black-friday-sets,عروض-الجمعة-السوداء
COLLECTION,'466273239273,meta_title,ar,,,Sets y Rutinas de Cuidado Capilar | TARA,مجموعات وروتينات العناية بالشعر | تارا
COLLECTION,'466273239273,meta_description,ar,,,Sets de cuidado capilar diseñados para rutinas integrales y resultados óptimos. Combinaciones expertas para tratar el cuero cabelludo y el cabello por completo.,مجموعات عناية بالشعر مصممة لروتينات شاملة ونتائج مثلى. تركيبات خبيرة لمعالجة فروة الرأس والشعر بشكل كامل.
COLLECTION,'466273272041,title,ar,,,Shop Skin,تسوّق البشرة
COLLECTION,'466273272041,body_html,ar,,,"<style>#html-body [data-pb-style=ALDI718],#html-body [data-pb-style=MQ8O7QJ]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=ALDI718]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=MQ8O7QJ]{align-self:stretch}#html-body [data-pb-style=HYYG8SI]{display:flex;width:100%}#html-body [data-pb-style=FMLNFD5],#html-body [data-pb-style=GT3I3AG],#html-body [data-pb-style=JSG9CCW]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=FMLNFD5]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=GT3I3AG],#html-body [data-pb-style=JSG9CCW]{background-position:left top}#html-body [data-pb-style=GT3I3AG]{text-align:center;width:50%}#html-body [data-pb-style=JSG9CCW]{width:25%}#html-body [data-pb-style=I71JF2U],#html-body [data-pb-style=UJSR6XB]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=UJSR6XB]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=ALDI718]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=FMLNFD5],#html-body [data-pb-style=GT3I3AG],#html-body [data-pb-style=JSG9CCW]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=JSG9CCW]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""ALDI718""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""MQ8O7QJ""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""HYYG8SI"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Skin_US_1_Desktop.jpg\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Skin_US_1_Mobile.jpg\""}' data-element=""main"" data-pb-style=""FMLNFD5""></div>
<div class=""pagebuilder-column right-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Dew_Cloud_SkinPLP_LArgeImage_Dekstop_1.gif\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Dew_Cloud_SkinPLP_LArgeImage_Mobile_1.gif\""}' data-element=""main"" data-pb-style=""GT3I3AG""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""JSG9CCW"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""I71JF2U"">More than just skin deep.</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""UJSR6XB""><p><span style=""font-weight: 400;"">Gentle, yet effective formulas that go beneath the surface to reveal your best skin yet.</span></p></div>
</div>
</div></div></div></div>","<style>#html-body [data-pb-style=ALDI718],#html-body [data-pb-style=MQ8O7QJ]{background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}#html-body [data-pb-style=ALDI718]{justify-content:center;display:flex;flex-direction:column;border-style:none;border-width:1px;border-radius:0;margin:0;padding:0}#html-body [data-pb-style=MQ8O7QJ]{align-self:stretch}#html-body [data-pb-style=HYYG8SI]{display:flex;width:100%}#html-body [data-pb-style=FMLNFD5],#html-body [data-pb-style=GT3I3AG],#html-body [data-pb-style=JSG9CCW]{justify-content:center;display:flex;flex-direction:column;background-size:cover;background-repeat:no-repeat;background-attachment:scroll;align-self:stretch}#html-body [data-pb-style=FMLNFD5]{background-position:center center;text-align:center;width:25%}#html-body [data-pb-style=GT3I3AG],#html-body [data-pb-style=JSG9CCW]{background-position:left top}#html-body [data-pb-style=GT3I3AG]{text-align:center;width:50%}#html-body [data-pb-style=JSG9CCW]{width:25%}#html-body [data-pb-style=I71JF2U],#html-body [data-pb-style=UJSR6XB]{border-style:none;border-width:1px;border-radius:0}#html-body [data-pb-style=UJSR6XB]{margin:0;padding:0}@media only screen and (max-width: 768px) { #html-body [data-pb-style=ALDI718]{display:flex;flex-direction:column;min-height:277px}#html-body [data-pb-style=FMLNFD5],#html-body [data-pb-style=GT3I3AG],#html-body [data-pb-style=JSG9CCW]{display:flex;flex-direction:column;align-self:stretch;min-height:277px}#html-body [data-pb-style=JSG9CCW]{min-height:40px} }</style><div data-content-type=""row"" data-appearance=""contained"" data-element=""main""><div data-enable-parallax=""0"" data-parallax-speed=""0.5"" data-background-images=""{}"" data-background-type=""image"" data-video-loop=""true"" data-video-play-only-visible=""true"" data-video-lazy-load=""true"" data-video-fallback-src="""" data-element=""inner"" data-pb-style=""ALDI718""><div class=""pagebuilder-column-group"" data-background-images=""{}"" data-content-type=""column-group"" data-appearance=""default"" data-grid-size=""12"" data-element=""main"" data-pb-style=""MQ8O7QJ""><div class=""pagebuilder-column-line"" data-content-type=""column-line"" data-element=""main"" data-pb-style=""HYYG8SI"">
<div class=""pagebuilder-column left-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Skin_US_1_Desktop.jpg\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/PLP_Skin_US_1_Mobile.jpg\""}' data-element=""main"" data-pb-style=""FMLNFD5""></div>
<div class=""pagebuilder-column right-image"" data-content-type=""column"" data-appearance=""full-height"" data-background-images='{\""desktop_image\"":\""https://taraformula.com/media/wysiwyg/Dew_Cloud_SkinPLP_LArgeImage_Dekstop_1.gif\"",\""mobile_image\"":\""https://taraformula.com/media/wysiwyg/Dew_Cloud_SkinPLP_LArgeImage_Mobile_1.gif\""}' data-element=""main"" data-pb-style=""GT3I3AG""></div>
<div class=""pagebuilder-column text-wrapper"" data-content-type=""column"" data-appearance=""full-height"" data-background-images=""{}"" data-element=""main"" data-pb-style=""JSG9CCW"">
<h1 data-content-type=""heading"" data-appearance=""default"" data-element=""main"" data-pb-style=""I71JF2U"">أحدث البشرة</h1>
<div data-content-type=""text"" data-appearance=""default"" data-element=""main"" data-pb-style=""UJSR6XB""><p><span style=""font-weight: 400;"">تركيبات لطيفة لكنها فعّالة تغوص في ما وراء سطح البشرة لتكشف عن أفضل بشرتك حتى الآن.</span></p></div>
</div>
</div></div></div></div>"
COLLECTION,'466273272041,handle,ar,,,shop-skin,العناية-بالبشرة
COLLECTION,'466273304809,title,ar,,,Accessories,إكسسوارات
COLLECTION,'466273304809,body_html,ar,,,,
COLLECTION,'466273304809,handle,ar,,,accessories,ملحقات
COLLECTION,'466273337577,title,ar,,,Black Garlic+ Ceramides,الثوم الأسود + السيراميدات
COLLECTION,'466273337577,body_html,ar,,,"<p>Comprehensive hair treatment to rebuild, strengthen and repair from the scalp to the hair fiber’s internal structure. Ideal for damaged, dry or porous hair.</p>",<p>علاج شاملي للشعر لإعادة البناء وتقوية وترميم من فروة الرأس إلى البنية الداخلية لليف الشعر. مثالي للشعر التالف والجاف والمسام.</p>
COLLECTION,'466273337577,handle,ar,,,black-garlic-ceramides,الثوم-الأسود-والسيراميدات
COLLECTION,'466273337577,meta_title,ar,,,Ajo Negro + Ceramidas | Reparar y Fortalecer le Cabello | TARA,الثوم الأسود + السيراميدات | ترميم وتقوية الشعر | تارا
COLLECTION,'466273337577,meta_description,ar,,,"Tratamiento capilar completo para reconstruir, fortalecer y reparar desde el cuero cabelludo hasta la estructura interna de la fibra capilar. ",علاج شعري كامل لإعادة البناء وتقوية وإصلاح من فروة الرأس إلى البنية الداخلية لليف الشعر.
COLLECTION,'466273370345,title,ar,,,Onion + Peptides,البصل + ببتيدات
COLLECTION,'466273370345,body_html,ar,,,<p>Anti‑hair‑loss haircare developed with Onion and next‑generation Peptides. This collection tackles shedding at the scalp to keep hair anchored and prolong the growth phase.</p>,<p>عناية بالشعر مضادة للتساقط مطوّرة باستخدام البصل وببتيدات الجيل التالي. هذه المجموعة تعالج التساقط من فروة الرأس لتعزيز تثبيت الشعر عند الجذور وإطالة فترة النمو.</p>
COLLECTION,'466273370345,handle,ar,,,onion-peptides,البصل-والببتيدات
COLLECTION,'466273370345,meta_title,ar,,,Cebolla + Péptidos | Combatir la Caída y el Afinamiento | TARA,البصل + ببتيدات | مكافحة التساقط وتخفيف الشعر | تارا
COLLECTION,'466273370345,meta_description,ar,,,"Cuidado capilar anticaída desarrollado con Extracto de Cebolla y CapixylTM. Reduce la caída capilar, mejora el anclaje del cabello y impulsa el crecimiento.",عناية بالشعر مضادّة للتساقط مطوّرة باستخدام مستخلص البصل وببتيدات CapixylTM. تقلّل التساقط، تحسن تثبيت الشعر وتدعم النمو.
COLLECTION,'466273403113,title,ar,,,Date+ Multivitamin,التمر + متعدد الفيتامينات
COLLECTION,'466273403113,body_html,ar,,,"<p><span>The Date+ Multivitamin collection combines the benefits of nutrient‑rich botanicals with innovative biotech to nourish, strengthen and protect your hair from within.</span></p>","<p><span>The Date+ Multivitamin collection combines the benefits of nutrient‑rich botanicals with innovative biotech to nourish, strengthen and protect your hair from within.</span></p>"
COLLECTION,'466273403113,handle,ar,,,date-multivitamin,التمر-والمتعدد-الفيتامينات
COLLECTION,'466273403113,meta_title,ar,,,Dátil+ Multivitamínico | Nutrición y Bienestar Capilar | TARA,التمر + متعدد الفيتامينات | تغذية وصحة الشعر | تارا
COLLECTION,'466273403113,meta_description,ar,,,"La colección Dátil+ Multivitamínico combina ingredientes innovadores para nutrir, fortalecer y proteger tu melena desde la raíz hasta las puntas. ",تجمع مجموعة التمر + متعدد الفيتامينات بين مكوّنات نباتية مغذية وتكنولوجيا بيولوجية مبتكرة لتغذية وتقوية وحماية شعرك من الداخل.
COLLECTION,'466273435881,title,ar,,,Detox,التنقية
COLLECTION,'466273435881,body_html,ar,,,"<p>The Tara Detox collection is the reset your scalp needs. Removes residue and impurities, revives follicles, balances sebum production and improves overall hair health.</p>","<p>The Tara Detox collection is the reset your scalp needs. Removes residue and impurities, revives follicles, balances sebum production and improves overall hair health.</p>"
COLLECTION,'466273435881,handle,ar,,,detox,الديتوكس
COLLECTION,'466273435881,meta_title,ar,,,Detox | Purifica y Reequilibra el Cuero Cabelludo | TARA,التنقية | Purifica y Reequilibra el Cuero Cabelludo | تارا
COLLECTION,'466273435881,meta_description,ar,,,"La colección Detox de Tara elimina residuos e impurezas, revitaliza folículos, equilibra la producción de sebo y mejora la salud general del cabello.",مجموعة التنقية من تارا تزيل الفضلات والشوائب، وتعيد تنشيط البصيلات، وتوازن إنتاج الزهم وتحسن صحة الشعر العامة.
COLLECTION,'466273468649,title,ar,,,Strawberry+ NMF,الفراولة + NMF
COLLECTION,'466273468649,body_html,ar,,,"<p><span>The Strawberry+ NMF collection is the definitive solution for dehydrated hair. Our 3‑step hydrating routine restores and maintains natural moisture, seals cuticles and leaves hair shiny, silky and frizz‑free.</span></p>","<p><span>The Strawberry+ NMF collection is the definitive solution for dehydrated hair. Our 3‑step hydrating routine restores and maintains natural moisture, seals cuticles and leaves hair shiny, silky and frizz‑free.</span></p>"
COLLECTION,'466273468649,handle,ar,,,strawberry-nmf,الفراولة-و-العوامل-المرطبة
COLLECTION,'466273468649,meta_title,ar,,,Fresa+ NMF | Hidratación para el Cabello | TARA,الفراولة+ NMF | ترطيب الشعر | تارا
COLLECTION,'466273468649,meta_description,ar,,,"La solución definitiva para cabello deshidratado. Rutina hidratante que restaura la hidratación, sella cutículas y deja el cabello sedoso y sin encrespamiento.",الحل النهائي للشعر المصاب بالجفاف. روتين ترطيب من ثلاث خطوات يعيد الترطيب الطبيعي ويحافظ عليه، يغلق قشور الشعر ويترك الشعر لامعًا وناعمًا وخالٍ من التجاعيد.
COLLECTION,'466273501417,title,ar,,,Best Sellers,الأكثر مبيعًا
COLLECTION,'466273501417,body_html,ar,,,"<p>Discover Tara’s top‑selling haircare products. Expert formulas that strengthen scalp and hair, chosen by those seeking visible, lasting results.</p>",<p>اكتشف أفضل منتجات العناية بالشعر من تارا. تركيبات خبيرة تقوّي فروة الرأس والشعر، يختارها من يبحث عن نتائج ملموسة وتدوم.</p>
COLLECTION,'466273501417,handle,ar,,,best-sellers,الأكثر-مبيعا
COLLECTION,'466273501417,meta_title,ar,,,Productos Más Vendidos | TARA,الأكثر مبيعًا | تارا
COLLECTION,'466273501417,meta_description,ar,,,Descubre los productos de cuidado capilar más vendidos de Tara. Fórmulas expertas que fortalecen el cuero cabelludo y el cabello para resultados visibles.,اكتشف منتجات العناية بالشعر الأكثر مبيعًا من تارا. تركيبات خبيرة تقوّي فروة الرأس والشعر للحصول على نتائج مرئية.
COLLECTION,'466273534185,title,ar,,,Hair Masks,ماسكات الشعر
