Type,Identification,Field,Locale,Market,Status,Default content,Translated content
METAFIELD,'34523593539817,value,ar,,,200ml,200ml
METAFIELD,'34523642626281,value,ar,,,267 mL | 200 mL | 50 mL,267 mL | 200 mL | 50 mL
METAFIELD,'34523671953641,value,ar,,,50 mL,50 mL
METAFIELD,'34523683913961,value,ar,,,267 mL,267 mL
METAFIELD,'34523696234729,value,ar,,,267 mL,267 mL
METAFIELD,'34523696267497,value,ar,,,Date+ Multivitamin,Date+ Multivitamin
METAFIELD,'34523794407657,value,ar,,,267 mL,267 mL
METAFIELD,'34523816591593,value,ar,,,267 mL,267 mL
METAFIELD,'34523833401577,value,ar,,,50 mL,50 mL
METAFIELD,'34523860926697,value,ar,,,150 mL,150 mL
METAFIELD,'34523878949097,value,ar,,,267 mL,267 mL
METAFIELD,'34523910373609,value,ar,,,267 mL,267 mL
METAFIELD,'34523963850985,value,ar,,,267 mL | 267 mL | 50 mL,267 mL | 267 mL | 50 mL
METAFIELD,'34524046393577,value,ar,,,50 mL,50 mL
METAFIELD,'34524066185449,value,ar,,,267 mL,267 mL
METAFIELD,'34524094791913,value,ar,,,267 mL,267 mL
METAFIELD,'34524156461289,value,ar,,,267 mL | 267 mL | 50 mL,267 mL | 267 mL | 50 mL
METAFIELD,'34524203778281,value,ar,,,267 mL | 267 mL | 50 mL,267 mL | 267 mL | 50 mL
METAFIELD,'34524224356585,value,ar,,,Detox,Detox
METAFIELD,'34524224520425,value,ar,,,Fragrance,Fragrance
METAFIELD,'34524224585961,value,ar,,,Free Of,Free Of
METAOBJECT,'151213146345,inci_name,ar,,,Allium Cepa (Onion) Bulb Extract,Allium Cepa (Onion) Bulb Extract
METAOBJECT,'151213179113,name,ar,,,Capixyl™ (Acetyl Tetrapeptide-3),Capixyl™ (Acetyl Tetrapeptide-3)
METAOBJECT,'151213179113,inci_name,ar,,,Acetyl Tetrapeptide-3,Acetyl Tetrapeptide-3
METAOBJECT,'151213211881,name,ar,,,Procapil® (Biotinoyl Tripeptide-1),Procapil® (Biotinoyl Tripeptide-1)
METAOBJECT,'151213211881,inci_name,ar,,,Biotinoyl Tripeptide-1,Biotinoyl Tripeptide-1
METAOBJECT,'151213244649,name,ar,,,Silverfree™ (Palmitoyl Dipeptide-52),Silverfree™ (Palmitoyl Dipeptide-52)
METAOBJECT,'151213244649,inci_name,ar,,,Palmitoyl Dipeptide-52,Palmitoyl Dipeptide-52
METAOBJECT,'151213768937,inci_name,ar,,,Chondrus Crispus Extract,Chondrus Crispus Extract
METAOBJECT,'151213900009,inci_name,ar,,,Yeast Extract,Yeast Extract
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.errors.delivery.invalid_origin_location_id,ar,,,Could not find a Location matching the origin location ID.,تعذّر العثور على موقع يطابق معرف موقع الأصل.
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.errors.discount.discount_code_not_honoured,ar,,,%{discount_rejection_message},%{discount_rejection_message}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.display_name,ar,,,{{firstName}} {{lastName}},{{firstName}} {{lastName}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.submit,ar,,,Submit,إرسال
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.processing,ar,,,Processing…,جارٍ المعالجة…
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.stepper.increase,ar,,,Increase {{type}},زيادة {{type}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.stepper.decrease,ar,,,Decrease {{type}},انخفاض {{type}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.stepper.minimum_reached,ar,,,Minimum of {{value}} reached,تم الوصول إلى الحد الأدنى {{value}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.stepper.maximum_reached,ar,,,Maximum of {{value}} reached,تم الوصول إلى الحد الأقصى {{value}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.remove_chip,ar,,,Remove item,إزالة العنصر
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.remove_item,ar,,,Remove %{label},إزالة %{label}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.remove_tag,ar,,,Remove tag,إزالة الوسم
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays.monday,ar,,,Monday,الإثنين
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays.tuesday,ar,,,Tuesday,الثلاثاء
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays.wednesday,ar,,,Wednesday,الأربعاء
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays.thursday,ar,,,Thursday,الخميس
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays.friday,ar,,,Friday,الجمعة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays.saturday,ar,,,Saturday,السبت
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays.sunday,ar,,,Sunday,الأحد
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays_abbreviation.monday,ar,,,Mo,Mo
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays_abbreviation.tuesday,ar,,,Tu,Tu
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays_abbreviation.wednesday,ar,,,We,We
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays_abbreviation.thursday,ar,,,Th,Th
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays_abbreviation.friday,ar,,,Fr,Fr
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays_abbreviation.saturday,ar,,,Sa,Sa
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.weekdays_abbreviation.sunday,ar,,,Su,Su
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.january,ar,,,January,January
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.february,ar,,,February,February
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.march,ar,,,March,March
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.april,ar,,,April,April
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.may,ar,,,May,May
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.june,ar,,,June,June
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.july,ar,,,July,July
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.august,ar,,,August,August
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.september,ar,,,September,September
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.october,ar,,,October,October
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.november,ar,,,November,November
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.dates.months.december,ar,,,December,December
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.datepicker.show_previous_month,ar,,,"Show previous month, {{month}} {{year}}",اظهر الشهر السابق، {{month}} {{year}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.datepicker.show_next_month,ar,,,"Show next month, {{month}} {{year}}",اظهر الشهر التالي، {{month}} {{year}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.datepicker.range_start,ar,,,Range start,نطاق البداية
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.datepicker.in_range,ar,,,In range,ضمن النطاق
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.datepicker.range_end,ar,,,Range end,نطاق النهاية
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.list_formatter.and.wordConnector,ar,,,"{{previousWords}}, {{anotherWord}}","{{previousWords}}, {{anotherWord}}"
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.list_formatter.and.lastWordConnector,ar,,,"{{previousWords}}, and {{lastWord}}","{{previousWords}}, and {{lastWord}}"
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.list_formatter.and.twoWordConnector,ar,,,{{firstWord}} and {{secondWord}},{{firstWord}} و {{secondWord}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.list_formatter.or.wordConnector,ar,,,"{{previousWords}}, {{anotherWord}}","{{previousWords}}, {{anotherWord}}"
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.list_formatter.narrow.wordConnector,ar,,,"{{previousWords}}, {{anotherWord}}","{{previousWords}}, {{anotherWord}}"
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.list_formatter.narrow.lastWordConnector,ar,,,"{{previousWords}}, {{lastWord}}","{{previousWords}}, {{lastWord}}"
ONLINE_STORE_THEME,'157434380521,shopify.checkout.general.list_formatter.narrow.twoWordConnector,ar,,,"{{firstWord}}, {{secondWord}}","{{firstWord}}, {{secondWord}}"
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.storefront_link,ar,,,merchant's website,موقع الشركة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.region_placeholder,ar,,,Region,المنطقة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.region_none,ar,,,None selected,لم يتم اختيار region
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.prefecture_label,ar,,,Prefecture,المحافظة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.prefecture_placeholder,ar,,,Prefecture,المحافظة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.governorate_label,ar,,,Governorate,الم圈
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.governorate_placeholder,ar,,,Governorate,المحافظة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.company_contact_info,ar,,,{{companyName}} · {{contact}},{{companyName}} · {{contact}}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.contact.change_company_location_link_label,ar,,,Change company location,غِير موقع الشركة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.customer_account.have_an_account_label,ar,,,Have an account?,هل لديك حساب؟
ONLINE_STORE_THEME,'157434380521,shopify.checkout.customer_account.sign_in_link_label,ar,,,Sign in,تسجيل الدخول
ONLINE_STORE_THEME,'157434380521,shopify.checkout.customer_account.sign_out_link_label,ar,,,Sign out,تسجيل الخروج
ONLINE_STORE_THEME,'157434380521,shopify.checkout.customer_account.saved_address_option_link,ar,,,Use a saved address,استخدام عنوان محفوظ
ONLINE_STORE_THEME,'157434380521,shopify.checkout.customer_account.saved_address_modal_title,ar,,,Use my saved address,استخدم عنواني المحفوظ
ONLINE_STORE_THEME,'157434380521,shopify.checkout.remote_merchandise_only.checkout_on_shop_label,ar,,,Check out on %{shop_name},اتمام الشراء على %{shop_name}
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unpurchasable_product.status_column_header,ar,,,Not available,غير متاح
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unfulfillable_product.default_message.one,ar,,,The chosen delivery method is no longer available for this item.,طريقة التوصيل المختارة لم تعد متاحة لهذا العنصر.
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unfulfillable_product.default_message.other,ar,,,The chosen delivery method is no longer available for these items.,طرق التوصيل المختارة لم تعد متاحة لهذه العناصر.
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unshippable_product.title,ar,,,No delivery available,لا يوجد توصيل متاح
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unshippable_product.header.one,ar,,,No delivery available for %{count} item,لا يتوفر توصيل لـ %{count} قطعة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unshippable_product.header.other,ar,,,No delivery available for %{count} items,لا يتوفر توصيل لـ %{count} قطع
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unshippable_product.message.one,ar,,,This item will be removed from your cart because there are no delivery methods available for your address.,سيتم إزالة هذه القطعة من سلتك لأن لا توجد طرق توصيل متاحة لعنوانك.
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unshippable_product.message.other,ar,,,These items will be removed from your cart because there are no delivery methods available for your address.,سيتم إزالة هذه القطع من سلتك لأن لا توجد طرق توصيل متاحة لعنوانك.
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.unshippable_product.status_column_header,ar,,,No delivery,لا توصيل
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.price_update.title,ar,,,Price update,تحديث السعر
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.price_update.description,ar,,,Prices for these items have changed and are updated in your cart.,تتغير أسعار هذه العناصر وتُحدّث في سلتك.
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.price_update.updated_price,ar,,,Updated price,السعر المحدّث
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.price_and_quantity_update.title,ar,,,Price and quantity update,تحديث السعر والالِسِتة
ONLINE_STORE_THEME,'157434380521,shopify.checkout.stock.price_and_quantity_update.description,ar,,,Prices and available quantities for these items have changed and are updated in your cart.,تتغير الأسعار والكميات المتاحة لهذه العناصر وتُحدّث في سلتك.
